symbol,listing_date,first_trade_date,delta_days,status
TBBL,2011-03-25,2011-03-25,0,OK
TBBLP,2011-10-02,2011-10-17,15,OK
TDBL,2012-08-22,2012-08-22,0,OK
TDBLPO,2015-10-14,2016-05-15,214,SUSPICIOUS_LARGE_GAP
TMDBL,2019-09-23,2019-09-24,1,OK
TMDBLP,2019-09-23,2020-09-08,351,SUSPICIOUS_LARGE_GAP
TNBL,2011-03-01,2011-03-29,28,OK
TNBLPO,2013-10-31,2013-10-31,0,OK
TPC,2021-10-29,2021-10-31,2,OK
TRH,1998-10-13,2011-03-28,4549,SUSPICIOUS_LARGE_GAP
TRHPR,2014-06-25,2014-06-25,0,OK
TSHL,2023-08-10,2023-08-13,3,OK
TTL,2025-07-15,2025-07-17,2,OK
TVCL,2023-11-28,2023-12-07,9,OK
UAIL,1994-08-01,2023-07-17,10577,SUSPICIOUS_LARGE_GAP
